user_id,timestamp,event_type,purchase_amount,session_duration
U00001,2023-12-04 08:01:25,view,0.0,7.7
U00001,2023-12-13 12:29:24,view,0.0,15.8
U00001,2023-12-14 09:38:24,cart,0.0,3.4
U00001,2023-12-16 03:22:19,view,0.0,8.5
U00001,2023-12-23 15:16:49,view,0.0,3.4
U00001,2023-12-26 23:30:04,view,0.0,7.7
U00001,2023-12-27 17:55:23,view,0.0,17.3
U00001,2023-12-28 14:47:41,view,0.0,2.1
U00001,2024-01-02 11:56:40,view,0.0,4.1
U00001,2024-01-04 00:51:18,view,0.0,40.0
U00001,2024-01-05 18:15:27,view,0.0,16.2
U00001,2024-01-06 22:41:18,cart,0.0,6.7
U00001,2024-01-07 15:27:00,cart,0.0,5.8
U00001,2024-01-13 04:24:48,view,0.0,2.7
U00001,2024-01-14 07:36:09,cart,0.0,5.8
U00001,2024-01-14 18:41:24,view,0.0,15.1
U00001,2024-01-16 17:48:57,cart,0.0,9.2
U00001,2024-01-21 08:41:05,purchase,31.71,2.5
U00001,2024-01-26 03:12:03,cart,0.0,1.5
U00001,2024-01-27 06:32:13,cart,0.0,0.8
U00001,2024-01-30 05:05:14,view,0.0,4.3
U00001,2024-01-31 09:11:56,view,0.0,1.0
U00001,2024-02-02 03:57:25,purchase,37.34,1.5
U00001,2024-02-02 16:36:02,view,0.0,6.3
U00001,2024-02-07 11:49:25,view,0.0,1.4
U00001,2024-02-08 01:38:17,cart,0.0,0.5
U00001,2024-02-13 10:44:09,purchase,29.05,5.8
U00001,2024-02-14 18:59:49,purchase,36.26,0.9
U00001,2024-02-20 13:28:22,view,0.0,11.1
U00001,2024-02-20 20:51:16,purchase,63.5,6.1
U00001,2024-02-29 05:50:12,view,0.0,15.8
U00001,2024-03-02 14:33:06,view,0.0,9.5
U00001,2024-03-02 17:44:32,cart,0.0,0.5
U00001,2024-03-08 06:34:51,view,0.0,4.0
U00001,2024-03-08 09:29:44,view,0.0,15.2
U00001,2024-03-08 13:25:27,cart,0.0,3.4
U00001,2024-03-12 02:47:25,view,0.0,0.5
U00001,2024-03-14 16:17:44,view,0.0,11.0
U00001,2024-03-18 21:22:18,view,0.0,13.0
U00001,2024-03-22 00:08:44,view,0.0,1.4
U00001,2024-03-22 05:02:34,view,0.0,6.2
U00001,2024-03-24 00:12:20,cart,0.0,1.7
U00001,2024-04-03 00:51:32,cart,0.0,10.2
U00001,2024-04-03 21:33:13,view,0.0,2.5
U00001,2024-04-04 09:30:02,purchase,69.9,3.0
U00001,2024-04-04 14:14:31,view,0.0,14.9
U00001,2024-04-06 19:33:34,view,0.0,5.2
U00001,2024-04-12 09:07:50,purchase,30.82,2.8
U00001,2024-04-16 22:56:41,view,0.0,7.9
U00001,2024-04-21 23:10:33,purchase,150.58,1.3
U00001,2024-04-22 14:54:58,view,0.0,3.7
U00001,2024-04-24 10:00:55,cart,0.0,1.9
U00001,2024-04-24 17:18:46,view,0.0,9.5
U00001,2024-04-27 11:58:59,view,0.0,23.1
U00001,2024-04-30 01:11:58,view,0.0,43.2
U00001,2024-05-19 01:45:19,cart,0.0,4.8
U00001,2024-05-19 03:39:34,cart,0.0,2.3
U00001,2024-05-22 10:29:13,purchase,110.94,1.8
U00001,2024-05-23 19:41:54,view,0.0,24.3
U00001,2024-05-24 22:45:42,view,0.0,3.3
U00001,2024-05-26 23:22:36,view,0.0,34.0
U00002,2023-12-08 14:26:35,view,0.0,4.1
U00002,2023-12-16 09:03:32,view,0.0,2.2
U00002,2024-01-07 04:17:08,view,0.0,1.8
U00002,2024-01-11 05:32:11,view,0.0,24.7
U00002,2024-01-16 21:38:12,view,0.0,20.1
U00002,2024-01-24 02:35:43,view,0.0,0.5
U00002,2024-02-04 08:05:09,view,0.0,3.3
U00002,2024-02-13 14:59:03,view,0.0,4.2
U00002,2024-02-14 12:39:36,view,0.0,2.2
U00002,2024-02-28 16:38:11,view,0.0,7.9
U00002,2024-03-24 09:18:24,purchase,13.36,8.2
U00002,2024-04-02 14:47:11,view,0.0,15.2
U00002,2024-05-04 18:45:09,view,0.0,10.8
U00002,2024-05-06 23:45:23,view,0.0,6.3
U00003,2023-12-06 13:12:06,view,0.0,0.7
U00003,2023-12-13 00:25:05,view,0.0,15.9
U00003,2023-12-13 01:39:26,view,0.0,5.2
U00003,2023-12-21 17:38:57,view,0.0,0.6
U00003,2023-12-30 10:39:58,view,0.0,6.4
U00003,2024-01-13 18:33:30,view,0.0,4.3
U00003,2024-01-24 11:22:01,view,0.0,16.8
U00003,2024-01-25 05:45:52,view,0.0,1.8
U00003,2024-02-05 10:19:14,view,0.0,14.0
U00003,2024-02-18 02:27:53,view,0.0,6.5
U00003,2024-02-18 19:52:15,purchase,9.82,5.1
U00003,2024-02-24 03:24:25,view,0.0,15.6
U00003,2024-02-29 22:11:53,view,0.0,2.9
U00003,2024-03-20 12:24:21,cart,0.0,1.7
U00003,2024-03-20 16:53:20,view,0.0,1.1
